participant_id,submissionType,dataset,durationSeconds,gt_total_atoms,main_fields_nonempty,total_user_values,total_correct_values,avg_similarity,avg_similarity_user,completeness_ratio,precision_ratio,recall_ratio,f1_ratio,values_per_min,file_path
P05,llm,quotekg,798,72,12,22,16,0.2119,0.5929,0.3055555555555556,0.7272727272727273,0.2222222222222222,0.3404255319148936,1.6541353383458646,Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T12-50-22-semantic.json
P05,regular,yago,541,66,13,26,12,0.1873,0.4561,0.3939393939393939,0.46153846153846156,0.18181818181818182,0.26086956521739135,2.8835489833641406,Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,Turtle editor,bio2rdf,609,76,2,2,1,0.0312,0.5,0.02631578947368421,0.5,0.013157894736842105,0.025641025641025637,0.19704433497536944,Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P07,llm,yago,731,66,19,43,40,0.5318,0.8956,0.6515151515151515,0.9302325581395349,0.6060606060606061,0.7339449541284403,3.5294117647058822,Usability_Study_29_Oct/P07/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T12-47-54-semantic.json
P07,Turtle editor,quotekg,744,72,8,9,5,0.1338,0.5352,0.125,0.5555555555555556,0.06944444444444445,0.12345679012345681,0.7258064516129032,Usability_Study_29_Oct/P07/kg-metadata-semantic-export-2025-10-29/template_turtle -p7.json
p10,llm,yago,258,66,18,26,24,0.4511,0.9007,0.3939393939393939,0.9230769230769231,0.36363636363636365,0.5217391304347827,6.046511627906977,Usability_Study_29_Oct/p10/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T13-33-41-semantic.json
p10,regular,bio2rdf,458,76,13,21,13,0.1823,0.4615,0.27631578947368424,0.6190476190476191,0.17105263157894737,0.2680412371134021,2.7510917030567685,Usability_Study_29_Oct/p10/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-22-17-semantic.json
p10,Turtle editor,quotekg,377,72,6,11,6,0.0696,0.4914,0.1527777777777778,0.5454545454545454,0.08333333333333333,0.14457831325301204,1.750663129973475,Usability_Study_29_Oct/p10/kg-metadata-semantic-export-2025-10-29/template_turtle -p10.json
P09,regular,bio2rdf,813,76,19,36,23,0.352,0.6263,0.47368421052631576,0.6388888888888888,0.3026315789473684,0.4107142857142857,2.6568265682656826,Usability_Study_29_Oct/P09/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-30-54-semantic.json
P09,llm,yago,333,66,26,61,52,0.7348,0.8928,0.9242424242424242,0.8524590163934426,0.7878787878787878,0.8188976377952757,10.99099099099099,Usability_Study_29_Oct/P09/kg-metadata-semantic-export-2025-10-29/llm-2025-10-31T10-21-12-semantic.json
P09,Turtle editor,quotekg,959,72,7,7,5,0.125,0.7143,0.09722222222222222,0.7142857142857143,0.06944444444444445,0.12658227848101267,0.437956204379562,Usability_Study_29_Oct/P09/kg-metadata-semantic-export-2025-10-29/template_turtle -p9.json
P04,Turtle editor,quotekg,501,72,0,0,0,0.0,,0.0,,0.0,,,Usability_Study_29_Oct/P04/kg-metadata-semantic-export-2025-10-29/template_turtle -p4.json
P04,llm,yago,276,66,24,44,38,0.6004,0.8005,0.6666666666666666,0.8636363636363636,0.5757575757575758,0.6909090909090909,9.565217391304348,Usability_Study_29_Oct/P04/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T13-29-16-semantic.json
P03,llm,yago,712,66,25,53,45,0.688,0.8607,0.803030303030303,0.8490566037735849,0.6818181818181818,0.7563025210084033,4.466292134831461,Usability_Study_29_Oct/P03/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T13-51-13-semantic.json
P03,regular,bio2rdf,982,76,14,31,27,0.3497,0.7992,0.40789473684210525,0.8709677419354839,0.35526315789473684,0.5046728971962617,1.894093686354379,Usability_Study_29_Oct/P03/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T12-56-49-semantic.json
P03,Turtle editor,quotekg,1117,72,6,6,4,0.1181,0.7132,0.08333333333333333,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.3222918531781558,Usability_Study_29_Oct/P03/kg-metadata-semantic-export-2025-10-29/template_turtle -p3.json
P06,regular,yago,730,66,26,54,36,0.3904,0.4933,0.8181818181818182,0.6666666666666666,0.5454545454545454,0.6,4.438356164383562,Usability_Study_29_Oct/P06/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-04-01-semantic.json
P06,llm,quotekg,638,72,31,70,57,0.738,0.7661,0.9722222222222222,0.8142857142857143,0.7916666666666666,0.8028169014084506,6.58307210031348,Usability_Study_29_Oct/P06/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T12-46-44-semantic.json
P06,Turtle editor,bio2rdf,522,76,3,5,3,0.0227,0.375,0.06578947368421052,0.6,0.039473684210526314,0.07407407407407407,0.5747126436781609,Usability_Study_29_Oct/P06/kg-metadata-semantic-export-2025-10-29/template_turtle -p6.json
P13,regular,quotekg,345,72,11,20,14,0.1437,0.5199,0.2777777777777778,0.7,0.19444444444444445,0.30434782608695654,3.4782608695652173,Usability_Study_29_Oct/P13/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-15-20-semantic.json
P08,llm,yago,250,66,15,29,22,0.3556,0.8144,0.4393939393939394,0.7586206896551724,0.3333333333333333,0.4631578947368421,6.96,Usability_Study_29_Oct/P08/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T12-46-05-semantic.json
P08,regular,bio2rdf,274,76,12,14,7,0.181,0.5786,0.18421052631578946,0.5,0.09210526315789473,0.15555555555555556,3.065693430656934,Usability_Study_29_Oct/P08/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-18-25-semantic.json
P08,Turtle editor,quotekg,426,72,6,11,10,0.1387,0.878,0.1527777777777778,0.9090909090909091,0.1388888888888889,0.24096385542168675,1.5492957746478875,Usability_Study_29_Oct/P08/kg-metadata-semantic-export-2025-10-29/template_turtle -p8.json
P12,regular,quotekg,728,72,23,45,33,0.4171,0.6311,0.625,0.7333333333333333,0.4583333333333333,0.5641025641025641,3.708791208791209,Usability_Study_29_Oct/P12/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-20-20-semantic.json
P12,Turtle editor,bio2rdf,781,76,8,11,10,0.2031,0.875,0.14473684210526316,0.9090909090909091,0.13157894736842105,0.22988505747126434,0.8450704225352113,Usability_Study_29_Oct/P12/kg-metadata-semantic-export-2025-10-29/template_turtle -p12.json
P12,llm,yago,546,66,25,57,49,0.7139,0.9018,0.8636363636363636,0.8596491228070176,0.7424242424242424,0.7967479674796748,6.263736263736264,Usability_Study_29_Oct/P12/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T13-02-58-semantic.json
P01,regular,yago,929,66,17,42,30,0.3448,0.6281,0.6363636363636364,0.7142857142857143,0.45454545454545453,0.5555555555555556,2.71259418729817,Usability_Study_29_Oct/P01/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-31-33-semantic.json
P01,Turtle editor,quotekg,108,72,0,0,0,0.0,,0.0,,0.0,,,Usability_Study_29_Oct/P01/kg-metadata-semantic-export-2025-10-29/template_turtle -p1.json
P01,llm,bio2rdf,421,76,30,64,57,0.8635,0.8861,0.8421052631578947,0.890625,0.75,0.8142857142857143,9.121140142517815,Usability_Study_29_Oct/P01/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T13-42-12-semantic.json
P11,Turtle editor,bio2rdf,1046,76,5,5,3,0.1051,0.6727,0.06578947368421052,0.6,0.039473684210526314,0.07407407407407407,0.28680688336520077,Usability_Study_29_Oct/P11/kg-metadata-semantic-export-2025-10-29/template_turtle -p11.json
P11,regular,quotekg,1011,72,24,49,35,0.3882,0.5598,0.6805555555555556,0.7142857142857143,0.4861111111111111,0.5785123966942148,2.908011869436202,Usability_Study_29_Oct/P11/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-31-32-semantic.json
P11,llm,yago,575,66,19,46,41,0.564,0.906,0.696969696969697,0.8913043478260869,0.6212121212121212,0.7321428571428572,4.8,Usability_Study_29_Oct/P11/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T13-09-18-semantic.json
