participant_id,submissionType,dataset,key,matching_mode,similarity_score,similarity_user,user_values_count,gt_values_count,correct_atom_count,ground_truth_value,user_value,file_path
P05,Turtle editor,bio2rdf,rdf:type,exact,0.0,0.0,1,2,0,"[""dcat:Dataset"", ""void:Dataset""]","[""dct:Dataset"", """"]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:title,exact,1.0,1.0,1,1,1,"""Bio2RDF""","""Bio2RDF""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:description,rouge,0.0,,0,1,0,"""Bio2RDF is a large-scale bioinformatics knowledge base and Linked Open Data (LOD) project that transforms heterogeneous life science databases into interconnected Resource Description Framework (RDF) resources. ""","""""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:created,exact,0.0,,0,1,0,"""2014-11-20""","""""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:modified,exact,0.0,,0,1,0,"[""2014-09-15""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:issued,exact,0.0,,0,1,0,"""2013-12-11""","""""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:alternative,exact,0.0,,0,1,0,"[""Linked Data Network for Bioinformatics""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dcat:acronym,exact,0.0,,0,1,0,"[""Bio2RDF""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dcat:landingpage,exact,0.0,,0,1,0,"[""http://bio2rdf.org""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,rdfs:seealso,exact,0.0,,0,1,0,"[""https://www.bio2rdf.org/about""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,prov:qualifiedattribution,"exact, fuzzy",0.0,,0,6,0,"[{""roleType"": ""publisher"", ""givenName"": ""Bio2RDF Consortium"", ""email"": ""info@bio2rdf.org""}, {""roleType"": ""creator"", ""givenName"": ""Michel Dumontier"", ""email"": ""michel.dumontier@bio2rdf.org""}]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:license,exact,0.0,,0,1,0,"""https://creativecommons.org/licenses/by-sa/4.0/""","""""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dcat:version,exact,0.0,,0,1,0,"""1.0""","""""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dcat:distribution,"exact, rouge",0.0,,0,5,0,"[{""title"": ""Bio2RDF dataset files"", ""description"": ""Bio2RDF download and documentation page"", ""mediaType"": ""link"", ""downloadURL"": ""http://bio2rdf.org"", ""accessURL"": ""https://zenodo.org/record/4702544"", ""byteSize"": """", ""license"": """", ""rights"": """", ""accessService"": """", ""compressionFormat"": """", ""packagingFormat"": """", ""hasPolicy"": """", ""spatialResolution"": """", ""temporalResolution"": """", ""releaseDate"": """", ""modificationDate"": """", ""issued"": """"}]","[{""title"": """", ""description"": """", ""mediaType"": """", ""downloadURL"": """", ""accessURL"": """", ""byteSize"": """", ""license"": """", ""rights"": """", ""accessService"": """", ""compressionFormat"": """", ""packagingFormat"": """", ""hasPolicy"": """", ""spatialResolution"": """", ""temporalResolution"": """", ""releaseDate"": """", ""modificationDate"": """", ""issued"": """"}]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,cito:citesasauthority,exact,0.0,,0,1,0,"[""http://www2007.org/workshop-W2.php""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,foaf:depiction,exact,0.0,,0,1,0,"[""https://bio2rdf.org/""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:conformsto,exact,0.0,,0,1,0,"[""http://www.w3.org/1999/02/22-rdf-syntax-ns#""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,void:triple,exact,0.0,,0,1,0,"[""tens of millions of RDF triples""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,void:vocabulary,exact,0.0,,0,5,0,"[""https://schema.org/"", ""https://www.w3.org/TR/void/"", ""http://www.w3.org/2001/XMLSchema#"", ""http://www.w3.org/2000/01/rdf-schema#"", ""http://www.w3.org/1999/02/22-rdf-syntax-ns#""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dcat:servesdataset,exact,0.0,,0,1,0,"[""https://github.com/bio2rdf/bio2rdf-scripts""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,void:sparqlendpoint,"exact, rouge",0.0,,0,5,0,"[{""void:sparqlEndpoint"": ""http://bio2rdf.org/sparql"", ""dct:identifier"": ""Bio2RDF SPARQL endpoint"", ""dct:title"": ""Bio2RDF Query Service"", ""dct:description"": ""The Bio2RDF SPARQL endpoint enables federated queries across all biomedical subgraphs, supporting cross-domain discovery and reasoning."", ""adms:status"": ""http://purl.org/adms/status/Completed""}]","[{""void:sparqlEndpoint"": """", ""dct:identifier"": """", ""dct:title"": """", ""dct:description"": """", ""adms:status"": """"}]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,mod:samplequeries,exact,0.0,,0,1,0,"[""https://github.com/bio2rdf/bio2rdf-scripts/wiki/Query-repository""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dcat:keyword,cosine,0.0,,0,6,0,"[""knowledge integration"", ""linked data"", ""ontology"", ""semantic web"", ""bioinformatics database"", ""data interoperability""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dcat:theme,cosine,0.0,,0,2,0,"[""http://dbpedia.org/resource/Bioinformatics"", ""http://dbpedia.org/resource/Semantic_Web""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:references,exact,0.0,,0,1,0,"[""https://www.nature.com/articles/s41597-021-00797-y/figures/1""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:language,exact,0.0,,0,3,0,"[""en"", ""it"", ""fr""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,void:uriregexpattern,exact,0.0,,0,1,0,"[""http://bio2rdf.org/{namespace}:{identifier}""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,void:linkset,exact,0.0,,0,4,0,"[{""target"": ""http://wikidata.org"", ""triples"": ""1240""}, {""target"": ""http://dbpedia.org"", ""triples"": ""963""}]","[{""target"": """", ""triples"": """"}]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,void:exampleresource,"exact, rouge",0.0,,0,3,0,"[{""dct:title"": ""PubMed article 1"", ""dct:description"": ""PubMed article 12728276"", ""adms:status"": """", ""dcat:accessURL"": ""http://bio2rdf.org/pubmed:12728276""}]","[{""dct:title"": """", ""dct:description"": """", ""adms:status"": """", ""dcat:accessURL"": """"}]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,dct:accessrights,exact,0.0,,0,1,0,"""http://purl.org/dc/terms/accessRights/open""","""""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,prov:hadprimarysource,exact,0.0,,0,14,0,"[""https://www.ncbi.nlm.nih.gov/gene/"", ""https://www.omim.org/"", ""http://obofoundry.org/"", ""https://www.genome.jp/kegg/ligand.html"", ""http://www.informatics.jax.org/"", ""https://www.genenames.org/"", ""https://www.rcsb.org/"", ""https://www.ebi.ac.uk/chebi/"", ""https://www.uniprot.org/"", ""https://reactome.org/"", ""https://prosite.expasy.org/"", ""https://pubmed.ncbi.nlm.nih.gov/"", ""https://www.ncbi.nlm.nih.gov/genbank/"", ""https://pubchem.ncbi.nlm.nih.gov/""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
P05,Turtle editor,bio2rdf,void:urispace,exact,0.0,,0,1,0,"[""http://bio2rdf.org/""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/template_turtle -p5.json
