participant_id,submissionType,dataset,key,matching_mode,similarity_score,similarity_user,user_values_count,gt_values_count,correct_atom_count,ground_truth_value,user_value,file_path
P05,regular,yago,rdf:type,exact,1.0,1.0,2,2,2,"[""dcat:Dataset"", ""void:Dataset""]","[""dcat:Dataset"", ""void:Dataset""]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:title,exact,1.0,1.0,1,1,1,"""YAGO""","""YAGO""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:description,rouge,0.1217,0.1217,1,1,0,""" YAGO is described as a lightweight, extensible ontology that integrates entities and relations, combining high coverage with high accuracy. The dataset contains approximately 900,000 entities and five million facts, including both taxonomic (Is-A hierarchy) and non-taxonomic relations such as hasWonPrize. It is automatically constructed from Wikipedia and WordNet using a combination of rule-based and heuristic methods. YAGO extends WordNet by introducing entities such as people, organizations, and products, achieving an estimated 95% empirical fact accuracy. It is built on a logically decidable model compatible with RDFS semantics, supporting extensibility through modern information extraction techniques. ""","""a large-scale semantic knowledge graph (KG) and ontology that unites factual information from major reference sources""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:created,exact,0.0,0.0,1,1,0,"""2012-10-29""","""2025-10-29""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:modified,exact,0.0,0.0,1,1,0,"[""2013-09-15""]","[""2025/10/29""]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:issued,exact,0.0,0.0,1,1,0,"""2013-05-23""","""2025-10-29""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:alternative,exact,0.0,0.0,1,1,0,"[""Yet Another Great Ontology""]","[""YAGOKG""]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dcat:acronym,exact,1.0,1.0,1,1,1,"[""YAGO""]","[""YAGO""]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dcat:landingpage,exact,1.0,1.0,1,1,1,"[""http://yago-knowledge.org""]","[""http://yago-knowledge.org""]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,rdfs:seealso,exact,0.0,0.0,1,1,0,"[""http://www.mpi-inf.mpg.de/home""]","[""https://www.mpi-inf.mpg.de/home""]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,prov:qualifiedattribution,"exact, fuzzy",0.0,,0,6,0,"[{""roleType"": ""publisher"", ""givenName"": ""Max-Planck-Institut für Informatik"", ""email"": ""library@mpi-sb.mpg.de""}, {""roleType"": ""creator"", ""givenName"": ""Fabian M."", ""email"": ""email: FabianM@gmail.com""}]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:license,exact,0.0,,0,1,0,"""https://opensource.org/licenses/GPL-3.0""","""""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dcat:version,exact,0.0,,0,1,0,"""1.0""","""""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dcat:distribution,"exact, rouge",0.0,,0,5,0,"[{""title"": ""YAGO files"", ""description"": ""YAGO download page"", ""mediaType"": ""link"", ""downloadURL"": ""http://yago-knowledge.org"", ""accessURL"": ""http://yago-knowledge.org"", ""byteSize"": """", ""license"": """", ""rights"": """", ""accessService"": """", ""compressionFormat"": """", ""packagingFormat"": """", ""hasPolicy"": """", ""spatialResolution"": """", ""temporalResolution"": """", ""releaseDate"": """", ""modificationDate"": """", ""issued"": """"}]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,cito:citesasauthority,exact,1.0,1.0,1,1,1,"[""https://suchanek.name/work/publications/www2007.pdf""]","[""https://suchanek.name/work/publications/www2007.pdf""]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,foaf:depiction,exact,0.0,,0,1,0,"[""https://yagoknowledge.org/""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:conformsto,exact,0.0,,0,1,0,"[""http://www.w3.org/1999/02/22-rdf-syntax-ns""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,void:triple,exact,0.0,,0,1,0,"[""5000000 triples""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,void:vocabulary,exact,0.0,,0,4,0,"[""http://yago-knowledge.org/resource/"", ""http://www.w3.org/2001/XMLSchema#"", ""http://www.w3.org/2000/01/rdf-schema#"", ""http://www.w3.org/2004/02/skos/core#""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dcat:servesdataset,exact,0.0,,0,1,0,"[""https://github.com/bowdenk7/yago""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,void:sparqlendpoint,"exact, rouge",0.0,,0,5,0,"[{""void:sparqlEndpoint"": ""https://query.Yago.org/sparql"", ""dct:identifier"": ""Wikidata SPARQL endpoint"", ""dct:title"": ""Yago Query Service"", ""dct:description"": ""The Wikidata Query Service generally contains the full data of Wikidata."", ""adms:status"": ""http://purl.org/adms/status/Completed""}]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,mod:samplequeries,exact,0.0,,0,1,0,"[""https://gist.github.com/mepcotterell/1833564""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dcat:keyword,cosine,0.3151,0.2521,5,4,1,"[""Ontology"", ""Knowledge Extraction"", ""Wikipedia"", ""WordNet""]","[""semantic knowledge graph"", ""lightweight"", ""high coverage"", ""high accuracy"", ""ontology""]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dcat:theme,cosine,0.0,,0,1,0,"[""Culture and Recreation""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:references,exact,0.0,,0,1,0,"[""https://arxiv.org/abs/2308.11884""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:language,exact,0.5556,0.5556,9,9,5,"[""en"", ""de"", ""fr"", ""nl"", ""it"", ""es"", ""ro"", ""pl"", ""ar""]","[""en"", ""ge"", ""fr"", ""du"", ""it"", ""sp"", ""ro"", ""po"", ""ar""]",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,void:uriregexpattern,exact,0.0,,0,1,0,"[""http://yago-knowledge.org/resource/{EntityName}""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,void:linkset,exact,0.0,,0,2,0,"[{""target"": ""http://www.wikidata.org"", ""triples"": ""3068""}]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,void:exampleresource,"exact, rouge",0.0,,0,3,0,"[{""dct:title"": ""example"", ""dct:description"": ""YAGO example resource"", ""adms:status"": """", ""dcat:accessURL"": ""http://mpii.mpg.de/yago#Albert_Einstein""}]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,dct:accessrights,exact,0.0,,0,1,0,"""YAGO dataset is publicly accessible""","""""",Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,prov:hadprimarysource,exact,0.0,,0,4,0,"[""https://www.wikipedia.org/"", ""https://wordnet.princeton.edu/"", ""https://www.wikidata.org/"", ""https://www.geonames.org/""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P05,regular,yago,void:urispace,exact,0.0,,0,1,0,"[""http://yago-knowledge.org/resource/""]",[],Usability_Study_29_Oct/P05/kg-metadata-semantic-export-2025-10-29/regular-2025-10-29T13-10-09-semantic.json
P07,llm,yago,rdf:type,exact,1.0,1.0,2,2,2,"[""dcat:Dataset"", ""void:Dataset""]","[""dcat:Dataset"", ""void:Dataset""]",Usability_Study_29_Oct/P07/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T12-47-54-semantic.json
P07,llm,yago,dct:title,exact,1.0,1.0,1,1,1,"""YAGO""","""YAGO""",Usability_Study_29_Oct/P07/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T12-47-54-semantic.json
P07,llm,yago,dct:description,rouge,0.1833,0.1833,1,1,0,""" YAGO is described as a lightweight, extensible ontology that integrates entities and relations, combining high coverage with high accuracy. The dataset contains approximately 900,000 entities and five million facts, including both taxonomic (Is-A hierarchy) and non-taxonomic relations such as hasWonPrize. It is automatically constructed from Wikipedia and WordNet using a combination of rule-based and heuristic methods. YAGO extends WordNet by introducing entities such as people, organizations, and products, achieving an estimated 95% empirical fact accuracy. It is built on a logically decidable model compatible with RDFS semantics, supporting extensibility through modern information extraction techniques. ""","""YAGO is a large-scale semantic knowledge graph that unites factual information from major reference sources including Wikipedia, WordNet, Wikidata, and GeoNames.""",Usability_Study_29_Oct/P07/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T12-47-54-semantic.json
P07,llm,yago,dct:created,exact,1.0,1.0,1,1,1,"""2012-10-29""","""2012-10-29""",Usability_Study_29_Oct/P07/kg-metadata-semantic-export-2025-10-29/llm-2025-10-29T12-47-54-semantic.json
